1#,1#,Ilość,Cena netto,Wartość netto,Wartość brutto
Filtr paliwa B3W033PR,IC-BA7097,1,"22,69","22,69","27,91"
Filtr paliwa Bosch 1 457 434 314 PP968,3165143410790,1,"35,51","35,51","43,68"
Filtr paliwa Filtron PP 940,5904608009401,1,"37,73","37,73","46,41"
Filtr paliwa Filtron PS860,5904608008602,2,"5,61","11,22","13,8"
Filtr paliwa B3W020PR,IC-A9755B,1,"21,62","21,62","26,59"
Filtr paliwa Filtron PS860,5904608008602,1,"5,61","5,61","6,9"
3#,3#,0,0,0,0
Filtr powietrza B2W020PR AP183,IC-AA0F22,2,"11,65","23,3","28,66"
Filtr powietrza B2W041PR,IC-AA0CA9,1,"15,06","15,06","18,52"
Filtr powietrza Filtron AR 286,5904608002860,1,"15,19","15,19","18,68"
Filtr powietrza B2W050PR AP186,IC-B9C560,1,"15,04","15,04","18,5"
Filtr powietrza FILTRON AP134/3,5904608041340,1,"17,47","17,47","21,49"
Filtr powietrza B2K005PR AP 138,IC-AA1EF3,1,"13,69","13,69","16,84"
Filtr powietrza B2R018PR AP 134/1,IC-BA87CB,1,"14,67","14,67","18,04"
Filtr powietrza BluePrint ADH22269,5050063006599,1,"15,71","15,71","19,32"
Filtr powietrza B2W047PR,IC-B9C57F,1,"20,78","20,78","25,56"
Filtr powietrza B2X028PR AP152,IC-AE7CE5,1,"7,5","7,5","9,23"
Filtr powietrza LX1950 AP142/4,4009026511442,1,"20,29","20,29","24,96"
Filtr powietrza B21060PR,IC-A8FDDB,1,"10,41","10,41","12,8"
4#,4#,0,0,0,0
Filtr powietrza B2G018PR AE251,AE251,1,"8,21","8,21","10,1"
Filtr powietrza B24033PR AP187/1,IC-A90042,1,"13,08","13,08","16,09"
Filtr powietrza Purflux A1096,3286061841791,1,"23,91","23,91","29,41"
Filtr powietrza B24033PR AP187/1,IC-A90042,1,"13,08","13,08","16,09"
Filtr powietrza B28038PR Ap 190/9,IC-B8B667,1,"10,55","10,55","12,98"
Filtr powietrza B28025PR,IC-A9006C,1,"9,25","9,25","11,38"
Filtr powietrza Filtron AR 257/3,5904608032577,1,"21,88","21,88","26,91"
Filtr powietrza B2R009PR AR275,IC-A9EADF,1,"8,61","8,61","10,59"
Filtr powietrza Filtron AR 255,5904608002556,1,"8,87","8,87","10,91"
Filtr powietrza FILTRON AK 317,5904608003171,1,"10,66","10,66","13,11"
Filtr powietrza B28013PR AK337,IC-A90098,1,"10,42","10,42","12,82"
Filtr powietrza Filtron AP 362/3,AP 362/3,1,"25,02","25,02","30,77"
Filtr powietrza FILTRON AP057,5904608000576,1,"11,33","11,33","13,94"
Filtr powietrza FILTRON AP 042,5904608000422,1,10,10,"12,3"
Filtr powietrza FILTRON AP040,5904608000408,1,"7,5","7,5","9,23"
Filtr powietrza B2W027PR,IC-AA0F23,1,10,10,"12,3"
Filtr powietrza B2W017PR Ap 157/2,IC-A9FCB7,1,"13,3","13,3","16,36"
Filtr powietrza B2X049PR,IC-B9C0A7,1,"13,79","13,79","16,96"
Filtr powietrza Mann C29012,4011558019709,1,"44,09","44,09","54,23"
Filtr powietrza B22108PR Ap 160/1,IC-AA0B83,2,"11,52","23,04","28,34"
Filtr powietrza B20505PR AP 177/1,IC-A94B07,1,"6,77","6,77","8,33"
Filtr powietrza B21029PR AP154,IC-A90065,2,"7,38","14,76","18,15"
5#,5#,0,0,0,0
Filtr powietrza B2G041PR AP 156,IC-AEF6FE,1,"8,67","8,67","10,66"
Filtr powietrza B2F032PR AP 077,IC-AEF6E8,1,"8,82","8,82","10,85"
Filtr powietrza FILTRON AP074/4,5904608050748,1,"21,88","21,88","26,91"
Filtr powietrza B2C049PR AP58/8,IC-C3E2A8,1,"11,25","11,25","13,84"
Filtr powietrza B22090PR Ap 167/1,IC-A900A4,1,"11,42","11,42","14,05"
Filtr powietrza B22088PR AP 167/2,IC-A900BE,1,"10,93","10,93","13,44"
Filtr powietrza B2A011PR AP179/1,IC-B9C57D,1,"13,19","13,19","16,22"
Filtr paliwa MANN PP 974/1,4011558952105,1,"74,92","74,92","92,15"
Filtr paliwa FILTRON PS 820 ,PS 820,3,"2,9","8,7","10,7"
Zawór filtra paliwa HP102 730,1274200000019,2,"10,78","21,56","26,52"
6#,6#,0,0,0,0
Filtr paliwa IP000010 ,IC-C373A5,10,"3,91","39,1","48,09"
Zestaw naprawczy zacisku Autofren D4612,8430320051574,2,"17,27","34,54","42,48"
Zestaw naprawczy zacisku ham. D4337,8430320032115,4,"7,16","28,64","35,23"
LIM3078 Pasta do hamulców,4100420030789,4,"3,35","13,4","16,48"
Zestaw naprawczy pompy ham. SC/CN D1542,8430320031026,1,"8,14","8,14","10,01"
Osram H15,4008321218391,1,"42,65","42,65","52,46"
Świeca zapłonowa NGK BKR5EYA,87295120873,8,"8,08","64,64","79,51"
Świeca NGK ZFR6P-G,87295168936,6,"10,86","65,16","80,15"
Świeca zapłonowa NGK BKR6EYA-11,87295140734,3,"7,53","22,59","27,79"
Świeca zapłonowa NGK B8EA,87295121207,3,"6,43","19,29","23,73"
Świeca zapłonowa NGK C7HSA,87295146293,2,"6,04","12,08","14,86"
Świeca zapłonowa NGK D7EA,87295179123,2,"6,22","12,44","15,3"
Świeca zapłonowa NGK BPR6ES,87295140086,2,"6,03","12,06","14,83"
Świeca zapłonowa NGK B8HS,87295155103,1,"5,85","5,85","7,2"
Świeca zapłonowa NGK BP7HS,87295151112,1,"4,83","4,83","5,94"
Świeca zapłonowa NGL BR7ES,87295151228,1,"6,8","6,8","8,36"
Świeca zapłonowa NGL BR7ES,87295151228,1,"196,54","196,54","241,74"
Świeca zapłonowa NGK BR9ES,87295157220,1,"6,72","6,72","8,27"
Świeca zapłonowa NGK DPR8EA-9,87295149294,1,"6,41","6,41","7,88"
Świeca zapłonowa NGK BR2-LM,87295157985,1,"7,14","7,14","8,78"
Świeca zapłonowa NGK B7HS,87295151105,1,"5,59","5,59","6,88"
NGK V-LINE NR23,87295044834,1,"9,72","9,72","11,96"
NGK V-LINE NR2,87295022689,1,"5,73","5,73","7,05"
NGK V-LINE NR21,87295059326,4,"10,71","42,84","52,69"
NGK V-LINE NR20,87295043882,4,"10,18","40,72","50,09"
NGK V-LINE NR19,87295072653,4,"6,87","27,48","33,8"
NGK V-LINE NR18,87295039755,4,"4,63","18,52","22,78"
NGK V-LINE NR17,87295062371,4,"5,25",21,"25,83"
NGK V-LINE NR16,87295047835,4,"5,06","20,24","24,9"
NGK V-LINE NR15,87295029411,4,"6,17","24,68","30,36"
NGK V-LINE NR14,87295064658,4,"7,15","28,6","35,18"
NGK V-LINE NR13,87295053393,8,"6,07","48,56","59,73"
NGK V-LINE NR12,87295061299,4,"5,98","23,92","29,42"
NGK V-LINE NR11,87295052822,4,"6,02","24,08","29,62"
NGK V-LINE NR10,87295035771,4,"6,79","27,16","33,41"
NGK V-LINE NR9,87295031537,4,"6,79","27,16","33,41"
NGK V-LINE NR8,87295023648,4,"4,7","18,8","23,12"
NGK V-LINE NR7,87295011836,4,"6,1","24,4","30,01"
NGK V-LINE NR5,87295064665,4,"4,7","18,8","23,12"
NGK V-LINE NR4,87295056370,8,"3,38","27,04","33,26"
NGK V-LINE NR3,87295045534,4,"5,74","22,96","28,24"
NGK V-LINE NR2,87295022689,4,"5,73","22,92","28,19"
NGK V-LINE NR1,87295028766,4,"10,54","42,16","51,86"
7#,7#,0,0,0,0
Filtr oleju Filtron OP 539,5904608005397,2,"8,53","17,06","20,98"
Filtr oleju OP 541,5904608005410,1,"9,12","9,12","11,22"
Filtr oleju Filtron OE 540/1,5904608015402,1,"10,68","10,68","13,14"
Filtr oleju Filtron OE 537,5904608005373,2,"11,02","22,04","27,11"
CERAM CB,5907439901029,2,"45,61","91,22","112,2"
CERAM CK,5907439901012,1,"55,76","55,76","68,58"
CERAM CM-2T,5907439901050,1,"27,64","27,64",34
Filtr oleju Filtron OP 569,5904608005694,1,"12,42","12,42","15,28"
8#,8#,0,0,0,0
NGK V-LINE NR24,87295030455,8,"12,38","99,04","121,82"
NGK V-LINE NR26,87295168950,8,"11,64","93,12","114,54"
NGK V-LINE NR27,87295054611,4,"11,32","45,28","55,69"
NGK V-LINE NR29,87295063422,4,"11,33","45,32","55,74"
NGK V-LINE NR31,87295063446,4,"16,38","65,52","80,59"
NGK V-LINE NR32,87295063453,4,"7,07","28,28","34,78"
NGK V-LINE NR33,87295016626,4,"5,82","23,28","28,63"
NGK V-LINE NR35,87295016671,4,"5,74","22,96","28,24"
NGK V-LINE NR39,87295057766,4,"7,76","31,04","38,18"
NGK V-line NR40,87295817636,6,"9,64","57,84","71,14"
NGK V-LINE NR41,NR41,4,"10,87","43,48","53,48"
NGK V-line NR42,87295874721,4,"13,11","52,44","64,5"
NGK V-line NR45,87295864630,4,"6,51","26,04","32,03"
NGK V-line NR46,87295822975,4,"10,75",43,"52,89"
NGK V-line NR48,87295868157,4,"10,8","43,2","53,14"
NGK V-line NR53,8795843017,4,"10,19","40,76","50,13"
