1,KOD,ILOSC,nr z odkupu,NAZWA_TOWARU,KOD,ILOSC,IND_IC,NAZWA,CENA DO ODKUPU PLN ZA 1 SZT.
Filtr paliwa Filtron PP 968,5904608009685,1,1,Filtr kabinowy B4A015PR K1118A,IC-AA0D89,1,K 1118A,Filtr kabiny,"44,98"
Filtr paliwa FILTRON PS 921,5904608009210,1,,Filtr powietrza FILTRON AP 085/2,5904608030580,1,AP 085/2,Filtr powietrza,"42,75"
Filtr paliwa B3W033PR,IC-BA7097,1,,Filtr paliwa FILTRON PP839/4,5904608048394,1,PP 839/4,Filtr paliwa,"39,41"
Filtr paliwa Filtron PP 979/4,5904608059796,1,,Filtr paliwa Filtron PP 848/2,5904608038487,1,PP 848/2,Filtr paliwa,"37,73"
Filtr paliwa Bosch 1 457 434 314 PP968,3165143410790,1,,Filtr kabinowy B4B002CPR K1136A,IC-BDC005,1,K 1136A,Filtr kabiny,"30,9"
Filtr paliwa Filtron PE 973/2,5904608049735,1,,Filtr paliwa Filtron PS 980/2,5904608039804,1,PS 980/2,Filtr paliwa,"30,58"
Filtr paliwa Filtron PP 960/1,5904608029607,1,,Filtr kabinowy B4A014CPR K1078A,IC-B4D0A4,1,K 1078A,Filtr kabiny,"30,4"
Filtr paliwa Filtron PP 940,5904608009401,1,,Filtr paliwa Bosch 1 457 434 437,3165143430712,1,1457434437,Filtr paliwa,"27,75"
Filtr paliwa Filtron PP 950,5904608009500,1,,Filtr powietrza B2F070PR AR 316/1,,1,AR 316/1,Filtr powietrza,"26,53"
Filtr paliwa Filtron PM 936,5904608009364,1,,Filtr powietrza Filtron AR 316/1,5904608023162,1,AR 316/1,Filtr powietrza,"26,53"
Filtr paliwa B3G005PR PP 865/2,IC-A9C494,1,,Filtr paliwa FILTRON PP 848/1,5904608018489,1,PP 848/1,Filtr paliwa,"26,36"
Filtr paliwa FILTRON PS 865/4,5904608058652,2,,Filtr paliwa Filtron PP 960/1,5904608029607,1,PP 960/1,Filtr paliwa,"25,81"
Filtr paliwa FILTRON PP839/4,5904608048394,1,,Filtr powietrza Filtron AK 362,5904608003621,1,AK 362,Filtr powietrza,"25,67"
Filtr paliwa FILTRON PP 841,5904608008411,1,,Filtr paliwa FILTRON PP 836/3,5904608048363,1,PP 836/3,Filtr paliwa,"23,58"
Filtr paliwa FILTRON PP 840,5904608008404,1,,Filtr paliwa Filtron PP 836/4,5904608058362,1,PP 836/4,Filtr paliwa,"23,43"
Filtr paliwa Bosch 1 457 434 437,3165143430712,1,,Filtr paliwa Filtron PP 855,5904608008558,1,PP 855,Filtr paliwa,"22,18"
Filtr paliwa FILTRON PP 848/1,5904608018489,1,,Filtr kabinowy B4X024CPR K1223A,IC-C3E2D8,1,K 1223A,Filtr kabiny,"22,03"
Filtr paliwa Filtron PM 858,5904608008589,2,,Filtr powietrza B2M070PR AP 034/2,IC-BA1E97,1,AP 034/2,Filtr powietrza,"21,23"
Filtr paliwa Filtron PS860,5904608008602,2,,Filtr powietrza Filtron AP 035/2,5904608030351,1,AP 035/2,Filtr powietrza,"20,54"
Filtr paliwa Filtron PP 865/5,5904608068651,1,,Filtr powietrza B2W009PR AR 265,IC-AA017E,1,AR 265,Filtr powietrza,"20,49"
PX C446,3286061813651,1,,Filtr kabinowy B4C014CPR K1247A,IC-C3E2CD,1,K 1247A,Filtr kabiny,"19,31"
Filtr paliwa Filtron PP 838/1,5904608018380,2,,Filtr paliwa Filtron PP 979/4,5904608059796,1,PP 979/4,Filtr paliwa,"19,19"
Filtr paliwa B3W018PR PP 836/1,IC-AA0B25,1,,Filtr paliwa Filtron PP 838/1,5904608018380,2,PP 838/1,Filtr paliwa,"18,79"
Filtr paliwa B3G011PR PP 865,IC-AA0B52,1,,Filtr kabinowy B4F013CPR K1103A,IC-B46EC7,1,K 1103A,Filtr kabiny,"18,68"
Filtr paliwa B30329PR,IC-A94B36,1,,Filtr kabinowy B4M019PR K1146,IC-BA119F,1,K 1146,Filtr kabiny,"18,56"
Filtr paliwa Filtron PP 848/2,5904608038487,1,,Filtr powietrza Filtron AR 327/2,5904608033277,1,AR 327/2,Filtr powietrza,"18,54"
Filtr paliwa FILTRON PP 850,5904608008503,1,,Filtr paliwa FILTRON PP 850,5904608008503,1,PP 850,Filtr paliwa,"17,99"
Filtr paliwa Filtron PP 855,5904608008558,1,,Filtr paliwa B30326PR PP979/2,IC-A94B33,1,PP 979/2,Filtr paliwa,"17,98"
Filtr paliwa Filtron PP 850/2,5904608028501,1,,Filtr paliwa Filtron PP 850/2,5904608028501,1,PP 850/2,Filtr paliwa,"17,89"
Filtr paliwa FILTRON PP 839/1,5904608018397,1,,Filtr kabinowy B4R018CPR K1089A,IC-B8B4A0,1,K 1089A,Filtr kabiny,"17,88"
Filtr paliwa B3W020PR,IC-A9755B,1,,Filtr powietrza B24053PR AP 102/3,IC-A8FDED,1,AP 102/3,Filtr powietrza,"17,8"
